1.70E-11,1.49E-11,3.35E-11,3.59E-11,1.39E-11,1.98E-11,2.73E-11,1.96E-11,1.31E-11,2.03E-11,2.15E-11,AVERAGE RESULTS->>>,AbsJ,,J,,I,,,COLLAPSE RESULTS->>>,Final AbsJ,,Final J,,Final I,,0.00E+00,0.00E+00,1.70E-11
2.05E-11,,,,,,,,,,,,,,,,,,,,,,,,,,3.88E+00,-3.88E+00,2.05E-11
2.86E-11,,,,,,,,,,,,,,,,,,,,,,,,,,3.24E+00,-3.24E+00,2.86E-11
1.05E-11,,,,,,,,,,,,,,,,,,,,,,,,,,2.59E+00,-2.59E+00,1.05E-11
2.13E-11,,,,,,,,,,,,,,,,,,,,,,,,,,1.94E+00,-1.94E+00,2.13E-11
1.74E-11,,,,,,,,,,,,,,,,,,,,,,,,,,1.30E+00,-1.30E+00,1.74E-11
1.89E-11,,,,,,,,,,,,,,,,,,,,,,,,,,6.48E-01,-6.48E-01,1.89E-11
3.59E-11,,,,,,,,,,,,,,,,,,,,,,,,,,0.00E+00,0.00E+00,3.59E-11
9.67E-12,,,,,,,,,,,,,,,,,,,,,,,,,,0.00E+00,0.00E+00,9.67E-12
1.79E-11,,,,,,,,,,,,,,,,,,,,,,,,,,6.51E-01,6.51E-01,1.79E-11
1.49E-11,,,,,,,,,,,,,,,,,,,,,,,,,,1.30E+00,1.30E+00,1.49E-11
3.44E-11,,,,,,,,,,,,,,,,,,,,,,,,,,1.95E+00,1.95E+00,3.44E-11
1.31E-11,,,,,,,,,,,,,,,,,,,,,,,,,,2.60E+00,2.60E+00,1.31E-11
1.36E-11,,,,,,,,,,,,,,,,,,,,,,,,,,3.24E+00,3.24E+00,1.36E-11
2.03E-11,,,,,,,,,,,,,,,,,,,,,,,,,,3.89E+00,3.89E+00,2.03E-11
1.69E-11,,,,,,,,,,,,,,,,,,,,,,,,,,4.54E+00,4.54E+00,1.69E-11
1.89E-11,,,,,,,,,,,,,,,,,,,,,,,,,,5.19E+00,5.19E+00,1.89E-11
2.07E-11,,,,,,,,,,,,,,,,,,,,,,,,,,5.83E+00,5.83E+00,2.07E-11
1.20E-11,,,,,,,,,,,,,,,,,,,,,,,,,,6.48E+00,6.48E+00,1.20E-11
8.80E-12,,,,,,,,,,,,,,,,,,,,,,,,,,6.48E+00,6.48E+00,8.80E-12
1.52E-11,,,,,,,,,,,,,,,,,,,,,,,,,,5.83E+00,5.83E+00,1.52E-11
1.56E-11,,,,,,,,,,,,,,,,,,,,,,,,,,5.19E+00,5.19E+00,1.56E-11
1.63E-11,,,,,,,,,,,,,,,,,,,,,,,,,,4.54E+00,4.54E+00,1.63E-11
2.11E-11,,,,,,,,,,,,,,,,,,,,,,,,,,3.89E+00,3.89E+00,2.11E-11
1.67E-11,,,,,,,,,,,,,,,,,,,,,,,,,,3.24E+00,3.24E+00,1.67E-11
2.02E-11,,,,,,,,,,,,,,,,,,,,,,,,,,2.59E+00,2.59E+00,2.02E-11
2.14E-11,,,,,,,,,,,,,,,,,,,,,,,,,,1.95E+00,1.95E+00,2.14E-11
2.78E-11,,,,,,,,,,,,,,,,,,,,,,,,,,1.30E+00,1.30E+00,2.78E-11
2.07E-11,,,,,,,,,,,,,,,,,,,,,,,,,,6.50E-01,6.50E-01,2.07E-11
1.69E-11,,,,,,,,,,,,,,,,,,,,,,,,,,0.00E+00,0.00E+00,1.69E-11
2.08E-11,,,,,,,,,,,,,,,,,,,,,,,,,,6.48E-01,-6.48E-01,2.08E-11
2.23E-11,,,,,,,,,,,,,,,,,,,,,,,,,,1.30E+00,-1.30E+00,2.23E-11
2.89E-11,,,,,,,,,,,,,,,,,,,,,,,,,,1.94E+00,-1.94E+00,2.89E-11
2.38E-11,,,,,,,,,,,,,,,,,,,,,,,,,,2.59E+00,-2.59E+00,2.38E-11
2.13E-11,,,,,,,,,,,,,,,,,,,,,,,,,,3.24E+00,-3.24E+00,2.13E-11
2.90E-11,,,,,,,,,,,,,,,,,,,,,,,,,,3.88E+00,-3.88E+00,2.90E-11
2.40E-11,,,,,,,,,,,,,,,,,,,,,,,,,,4.53E+00,-4.53E+00,2.40E-11
2.36E-11,,,,,,,,,,,,,,,,,,,,,,,,,,5.17E+00,-5.17E+00,2.36E-11
1.98E-11,,,,,,,,,,,,,,,,,,,,,,,,,,5.82E+00,-5.82E+00,1.98E-11
2.21E-11,,,,,,,,,,,,,,,,,,,,,,,,,,6.46E+00,-6.46E+00,2.21E-11
7.46E-12,,,,,,,,,,,,,,,,,,,,,,,,,,6.46E+00,-6.46E+00,7.46E-12
7.44E-12,,,,,,,,,,,,,,,,,,,,,,,,,,5.82E+00,-5.82E+00,7.44E-12
1.70E-11,,,,,,,,,,,,,,,,,,,,,,,,,,5.18E+00,-5.18E+00,1.70E-11
2.19E-11,,,,,,,,,,,,,,,,,,,,,,,,,,4.53E+00,-4.53E+00,2.19E-11
