4.55E-13,1.70E-13,2.44E-13,3.00E-13,4.72E-13,3.12E-13,3.91E-13,-2.77E-11,1.47E-12,1.12E-12,-2.28E-12,AVERAGE RESULTS->>>,AbsJ,,J,,I,,,COLLAPSE RESULTS->>>,Final AbsJ,,Final J,,Final I,,1.95E-07,1.17E-07,4.55E-13
-1.01E-13,,,,,,,,,,,,,,,,,,,,,,,,,,5.51E-08,-2.61E-08,-1.01E-13
3.20E-13,,,,,,,,,,,,,,,,,,,,,,,,,,1.38E-07,8.26E-08,3.20E-13
4.03E-13,,,,,,,,,,,,,,,,,,,,,,,,,,1.73E-07,1.04E-07,4.03E-13
4.72E-13,,,,,,,,,,,,,,,,,,,,,,,,,,2.03E-07,1.22E-07,4.72E-13
4.80E-13,,,,,,,,,,,,,,,,,,,,,,,,,,2.07E-07,1.24E-07,4.80E-13
5.41E-13,,,,,,,,,,,,,,,,,,,,,,,,,,2.33E-07,1.40E-07,5.41E-13
6.75E-13,,,,,,,,,,,,,,,,,,,,,,,,,,2.90E-07,1.74E-07,6.75E-13
6.99E-13,,,,,,,,,,,,,,,,,,,,,,,,,,3.01E-07,1.80E-07,6.99E-13
7.42E-13,,,,,,,,,,,,,,,,,,,,,,,,,,3.19E-07,1.91E-07,7.42E-13
7.26E-13,,,,,,,,,,,,,,,,,,,,,,,,,,3.12E-07,1.87E-07,7.26E-13
8.37E-13,,,,,,,,,,,,,,,,,,,,,,,,,,3.60E-07,2.16E-07,8.37E-13
4.01E-13,,,,,,,,,,,,,,,,,,,,,,,,,,1.72E-07,1.03E-07,4.01E-13
-1.38E-13,,,,,,,,,,,,,,,,,,,,,,,,,,6.35E-08,-3.56E-08,-1.38E-13
-3.04E-13,,,,,,,,,,,,,,,,,,,,,,,,,,1.31E-07,-7.84E-08,-3.04E-13
-4.52E-13,,,,,,,,,,,,,,,,,,,,,,,,,,1.94E-07,-1.16E-07,-4.52E-13
-4.13E-13,,,,,,,,,,,,,,,,,,,,,,,,,,1.78E-07,-1.07E-07,-4.13E-13
-5.43E-13,,,,,,,,,,,,,,,,,,,,,,,,,,2.33E-07,-1.40E-07,-5.43E-13
-5.90E-13,,,,,,,,,,,,,,,,,,,,,,,,,,2.54E-07,-1.52E-07,-5.90E-13
-6.21E-13,,,,,,,,,,,,,,,,,,,,,,,,,,2.67E-07,-1.60E-07,-6.21E-13
-7.50E-13,,,,,,,,,,,,,,,,,,,,,,,,,,3.22E-07,-1.93E-07,-7.50E-13
-6.98E-13,,,,,,,,,,,,,,,,,,,,,,,,,,3.00E-07,-1.80E-07,-6.98E-13
-8.33E-13,,,,,,,,,,,,,,,,,,,,,,,,,,3.58E-07,-2.15E-07,-8.33E-13
-8.29E-13,,,,,,,,,,,,,,,,,,,,,,,,,,3.56E-07,-2.14E-07,-8.29E-13
-9.17E-13,,,,,,,,,,,,,,,,,,,,,,,,,,3.94E-07,-2.36E-07,-9.17E-13
